28,0.307,5,4,0.1,-5.854,229813,0.886,228,0.613,0.082,spotify:track:7cVmKBwzPsh4Fmb6SplfEm,21,0.62,76.035,0,1,8,Dem Franchize Boyz featuring Peanut and Charlay,"Lean wit It, Rock wit It"
29,0.0326,10,4,0.376,-11.223,275133,0.725,215,0.526,0.038,spotify:track:7BRPQ2kmto0FBXCV7aXqeh,21,0.622,106.596,0.0136,1,9,Three 6 Mafia featuring Young Buck and Eightball & MJG,Stay Fly
30,0.108,0,4,0.081,-11.617,230713,0.722,185,0.172,0.088,spotify:track:0F7rEdewJ6cSLylOZZpDu7,21,0.329,99.991,0,0,10,T-Pain,I'm Sprung
31,0.302,5,4,0.341,-7.22,337640,0.524,237,0.63,0.27,spotify:track:6QON2WlAI1QayzhgebwvWd,21,0.635,127.618,0,0,11,Ray J,One Wish
32,0.0314,5,4,0.123,-5.362,219493,0.583,219,0.136,0.254,spotify:track:3f3omU8n47Mqyab5nCaGyT,21,0.584,140.039,0,0,12,Kelly Clarkson,Because of You
33,0.0399,5,4,0.0822,-6.333,259333,0.706,231,0.633,0.00577,spotify:track:1D1nixOVWOxvNfWi0UD7VX,21,0.801,100.013,0,1,13,Natasha Bedingfield,Unwritten
34,0.0292,8,4,0.136,-3.756,258920,0.513,231,0.405,0.000932,spotify:track:2wdEXKLcuU7B0M2gqFmABH,21,0.877,145.919,0.000163,1,14,Nickelback,Photograph
35,0.0466,10,4,0.667,-4.256,193653,0.453,193,0.459,0.0004,spotify:track:5lDriBxJd22IhOH9zTcFrV,21,0.942,143.85,0.00000265,1,15,The All-American Rejects,Dirty Little Secret
36,0.139,11,4,0.078,-3.144,180267,0.616,179,0.531,0.00494,spotify:track:0a7BloCiNzLDD9qSQHh5m7,21,0.961,114.492,0,0,16,Fall Out Boy,"Dance, Dance"
37,0.0943,3,4,0.102,-3.493,232267,0.397,232,0.481,0.00258,spotify:track:4lw2PwlgeQVyNRmm3aeX6X,21,0.903,166.865,0,1,17,Relient K,Who I Am Hates Who I've Been
38,0.0372,11,4,0.298,-5.852,245000,0.76,211,0.964,0.0226,spotify:track:4Hff1IjRbLGeLgFgxvHflk,21,0.891,120.265,0.0868,0,18,Gorillaz,Dare
39,0.108,11,4,0.225,-5.317,240093,0.536,239,0.634,0.399,spotify:track:1VdHooAMVaGXPSty8pifv9,21,0.943,123.759,0.0000227,0,19,Trace Adkins,Honky Tonk Badonkadonk
40,0.052,8,4,0.41,-5.373,196467,0.635,197,0.485,0.00474,spotify:track:1eOHw1k2AoluG4VyjBHLzX,21,0.974,142.049,0.0000156,1,20,Cascada,Everytime We Touch
41,0.226,2,4,0.0715,-6.596,236133,0.646,235,0.687,0.00249,spotify:track:5IVuqXILoxVWvWEPm82Jxr,14,0.77,99.165,0,0,1,Beyoncé featuring Jay-Z,Crazy in Love
42,0.193,5,4,0.137,-3.219,272533,0.835,229,0.831,0.104,spotify:track:3CNqo3gYrfexdrtjFmC9he,14,0.706,94.086,0,1,2,The Black Eyed Peas featuring Justin Timberlake,Where Is the Love?
43,0.103,4,4,0.286,-6.413,209490,0.833,206,0.731,0.207,spotify:track:3Gamc2D6VSlXpUcmhPUFYt,14,0.677,132.876,0.00000392,1,3,Mýa,My Love Is Like...Wo
44,0.362,6,4,0.0798,-6.197,184907,0.811,182,0.796,0.0391,spotify:track:1AjQE5MtP5jHQMyDepbvLI,14,0.657,199.958,0.712,1,4,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)"
45,0.253,2,4,0.0591,-3.977,249800,0.866,216,0.878,0.15,spotify:track:0l3GEbH3CviUytD6iX4wzg,14,0.749,92.077,0,1,5,Chingy,Right Thurr
46,0.315,10,4,0.149,-7.035,224667,0.929,224,0.897,0.102,spotify:track:6njG8EYG1lrROn8P6q46eq,14,0.595,94.997,0,0,6,Murphy Lee featuring Jermaine Dupri,Wat Da Hook Gon Be
47,0.31,1,4,0.0724,-5.575,221240,0.585,220,0.947,0.266,spotify:track:44ssa5Vilw1qJ79wZKfZgx,14,0.625,87.055,0.0000482,1,7,R. Kelly,Thoia Thoing
48,0.273,1,4,0.0701,-4.453,261333,0.878,259,0.774,0.103,spotify:track:5K6x90WnljxSWJwSA5Jj6i,14,0.63,104.879,0,1,8,Bow Wow featuring Baby,Let's Get Down
49,0.0442,1,4,0.0742,-5.351,294867,0.841,274,0.873,0.0729,spotify:track:0aj2QKJvz6CePykmlTApiD,14,0.629,97.963,0,1,9,Justin Timberlake,Señorita
50,0.121,0,4,0.0632,-3.628,226027,0.803,209,0.719,0.0107,spotify:track:1HCPjfa02m5JwcO37LHfYb,14,0.773,91.915,0,1,10,Thalía featuring Fat Joe,I Want You
51,0.26,5,4,0.114,-3.071,243493,0.694,238,0.501,0.635,spotify:track:14B2bUopOga5V3ypld7d6n,14,0.752,82.529,0.00000644,0,11,Baby Bash featuring Frankie J.,Suga Suga
52,0.0776,1,4,0.0753,-5.873,243307,0.691,242,0.334,0.508,spotify:track:5ojJNnX5ND2gMGojPd3NiO,14,0.541,127.683,0,1,12,Ginuwine,In Those Jeans
53,0.225,10,4,0.0535,-6.123,270880,0.67,228,0.51,0.573,spotify:track:06ZDLodo1UDVavc3MXREZ3,14,0.616,120.129,0,1,13,Jagged Edge,Walked Outta Heaven
54,0.0958,1,4,0.189,-3.785,200387,0.58,199,0.676,0.0917,spotify:track:2x5qF66rFO6DERBMNkQAqn,14,0.922,89.841,0,1,14,Stacie Orrico,(There's Gotta Be) More to Life
55,0.0405,11,4,0.165,-4.849,208360,0.487,207,0.238,0.0273,spotify:track:4z4PB23xYTg1oANmyZovsw,14,0.759,80.958,0,1,15,Liz Phair,Why Can't I?
56,0.0413,11,4,0.0808,-4.927,197987,0.774,195,0.901,0.0021,spotify:track:27L8sESb3KR79asDUBu8nW,14,0.75,118.015,0.0000185,0,16,Fountains of Wayne,Stacy's Mom
57,0.0331,3,4,0.358,-5.497,183493,0.663,181,0.609,0.00212,spotify:track:65mxB9IWpmVo4qUjdGSxRB,14,0.72,135.342,0,1,17,Good Charlotte,Girls & Boys
58,0.0691,6,4,0.0975,-2.879,258000,0.251,241,0.269,0.000674,spotify:track:5BmagRD7Thki6O1zZwbxBy,14,0.954,191.059,0.000132,1,18,The Ataris,The Boys of Summer
59,0.0391,11,4,0.226,-5.659,207467,0.455,205,0.574,0.000616,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,14,0.858,163.118,0.000247,0,19,Nickelback,Someday
60,0.0248,10,4,0.134,-6.733,238560,0.536,234,0.227,0.0537,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,14,0.55,144.018,0,0,20,3 Doors Down,Here Without You
61,0.0302,11,4,0.325,-4.431,225867,0.597,226,0.8,0.00368,spotify:track:2fOxxLz9JVe53itq6pfBak,15,0.762,126.325,0.00117,1,1,No Doubt,It's My Life
62,0.121,5,4,0.241,-3.925,198813,0.774,198,0.928,0.0279,spotify:track:717TY4sfgKQm4kFbYQIzgo,15,0.847,143.011,0.0183,0,2,Britney Spears,Toxic
63,0.357,6,4,0.111,-4.774,213760,0.745,213,0.783,0.358,spotify:track:2CtCwQhY0ZLvr8L2l8Bo6e,15,0.841,97.909,0,1,3,Ludacris featuring Shawnna,Stand Up
64,0.154,1,4,0.118,-6.911,469333,0.882,269,0.652,0.0912,spotify:track:2eRq2PrQH1RzCvF6f0t4cc,15,0.663,122.67,0,1,4,Chingy featuring Ludacris and Snoop Dogg,Holidae In
65,0.183,9,4,0.292,-5.185,270240,0.834,269,0.746,0.0897,spotify:track:3UvpMz4mNB6SEKCdaBT6qO,15,0.664,95.079,0,0,5,Westside Connection featuring Nate Dogg,Gangsta Nation
66,0.172,1,4,0.0728,-5.328,254173,0.773,220,0.923,0.134,spotify:track:11vB24DiDhGZZmW7WzCmxr,15,0.824,94.998,0,0,6,Sarah Connor,Bounce
67,0.266,2,4,0.28,-3.96,296187,0.807,224,0.594,0.0894,spotify:track:6diFcq4UcYDlBeRVqOCWY1,15,0.693,112.977,0,1,7,The Black Eyed Peas,Shut Up
68,0.102,4,4,0.0662,-6.11,237840,0.896,237,0.657,0.273,spotify:track:1T1ZUKX4X87tVLaBGjwFv4,15,0.552,93.001,0,0,8,Nick Cannon featuring R. Kelly,Gigolo
69,0.0803,1,4,0.137,-9.092,301133,0.75,301,0.53,0.226,spotify:track:6XsT5UGfpaFeHQf5LRIy4W,15,0.458,83.61,0.0000325,1,9,Beyoncé,"Me, Myself and I"
70,0.122,9,4,0.258,-7.03,226493,0.754,197,0.784,0.36,spotify:track:5W1L4M0wc0ZNFKiHp3rRLK,15,0.614,149.297,0.0000395,0,10,Baby Bash featuring Perla Cruz & Russell Lee,Shorty Doowop
71,0.0653,0,4,0.0404,-6.245,225107,0.828,224,0.567,0.214,spotify:track:1p5kC161fWMA2QlwV3Vi4W,15,0.653,68.507,0.00000325,0,11,Eamon,I Don't Want You Back
72,0.108,0,4,0.215,-4.583,191827,0.553,189,0.596,0.0923,spotify:track:7pNJ1T9TGbVbNHKaLhhPri,15,0.756,94.487,0,1,12,Jessica Simpson,With You
73,0.031,8,4,0.106,-13.797,200627,0.526,199,0.67,0.941,spotify:track:7zkLpY72g6lKQbiHDqri1S,15,0.299,156.848,0.097,1,13,Norah Jones,Sunrise
74,0.0248,2,4,0.0728,-7.52,230973,0.638,224,0.557,0.759,spotify:track:4PzPvpE63ttEbKyMDRWB6q,15,0.336,78.86,0,1,14,Sheryl Crow,The First Cut Is the Deepest
75,0.0361,11,4,0.15,-5.554,251960,0.52,221,0.434,0.013,spotify:track:0QRcOtv4LE9C2QTfbbkL1e,15,0.688,160.108,0.00000441,0,15,Fefe Dobson,Everything
76,0.0421,6,4,0.139,-5.157,231480,0.498,230,0.423,0.00461,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,15,0.83,89.342,0,0,16,Three Days Grace,(I Hate) Everything About You
77,0.0901,4,4,0.504,-5.893,172646,0.417,173,0.58,0.102,spotify:track:26AYR77170U49cMcXB7aRV,15,0.956,173.108,0,1,17,Blink-182,Feeling This
78,0.0769,1,4,0.113,-5.354,245600,0.424,243,0.16,0.000884,spotify:track:3UyL1yzD5B1nIaFJRs4W8r,15,0.937,137.861,0,1,18,Good Charlotte,Hold On
